OBJ_ID,Dat_obs,Hr_obs,Nb_coyotes,Alimentation,Statut_animal,Periode,Comp_class,Com_code,Cote,Territoire,Statut_mention,Provenance,Verif,X,Y,Lat,Long,geometry
1485,"2019-03-20","08:30:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","formulaire","oui",292142.5776,5046806.562,"45,5610551","-73,662138",POINT (292142.5776 5046806.562)
1486,"2019-03-20","07:45:00",1,,,"crepuscule","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293962.3898,5045861.115,"45,55257838","-73,63880585",POINT (293962.3898 5045861.115)
1487,"2019-03-20","07:10:00",1,,,"crepuscule","1",2,0.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294397.0785,5046301.707,"45,5565496","-73,63324783",POINT (294397.0785 5046301.707)
1488,"2019-03-20","07:15:00",1,,,"crepuscule","1",2,0.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294398.7203,5046302.166,"45,55655375","-73,63322681",POINT (294398.7203 5046302.166)
1489,"2019-03-20","07:50:00",1,,,"crepuscule","1",2,0.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294051.6402,5046161.842,"45,5552858","-73,63766936",POINT (294051.6402 5046161.842)
1490,"2019-03-20","10:43:00",1,,,"jour","1",2,1,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293310.3303,5046437.051,"45,55775038","-73,64717079",POINT (293310.3303 5046437.051)
1491,"2019-03-20","07:45:00",1,,,"crepuscule","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294096.8956,5046175.123,"45,555406","-73,63709",POINT (294096.8956 5046175.123)
1492,"2019-03-20","07:00:00",1,,,"crepuscule","2",4,2.8,"Villeray—Saint-Michel—Parc-Extension","Valide","formulaire","oui",294780.2585,5046408.703,"45,557518","-73,628342",POINT (294780.2585 5046408.703)
1493,"2018-10-01","07:00:00",1,,,"jour","inconnue",1,0,"Saint-Laurent","Valide","formulaire","oui",291621.0741,5042480.697,"45,52211987","-73,66870183",POINT (291621.0741 5042480.697)
1494,"2019-03-14","22:30:00",2,,,"nuit","inconnue",1,0,"Côte-des-Neiges—Notre-Dame-de-Grâce","Valide","formulaire","oui",294400.3188,5040780.618,"45,5068689","-73,6330891",POINT (294400.3188 5040780.618)
1495,"2019-03-18","11:50:00",1,,,"jour","inconnue",1,0,"Anjou","Valide","info-coyote","oui",297698.8231,5052237.628,"45,61000425","-73,59104316",POINT (297698.8231 5052237.628)
1496,"2019-03-17","18:30:00",1,,,"crepuscule","inconnue",1,0,"Anjou","Valide","info-coyote","oui",297355.232,5052100.869,"45,60877006","-73,59544619",POINT (297355.232 5052100.869)
1497,"2019-03-19","08:40:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","MFFP","oui",292481.439,5046735.368,"45,56042055","-73,6577955",POINT (292481.439 5046735.368)
1499,"2019-03-20","10:00:00",1,,,"jour","1",2,1,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293863.5411,5046269.21,"45,556249","-73,640081",POINT (293863.5411 5046269.21)
1500,"2019-03-21","09:00:00",1,,,"jour","1",2,1,"Rosemont—La Petite-Patrie","Valide","formulaire","oui",300228.8568,5047924.481,"45,57121456","-73,55856561",POINT (300228.8568 5047924.481)
1501,"2019-02-28","07:00:00",1,"autre",,"crepuscule","inconnue",1,0,"Kirkland","Valide","info-coyote","oui",275767.6101,5033792.285,"45,4434592","-73,8711233",POINT (275767.6101 5033792.285)
1503,"2019-03-16","20:00:00",1,,,"crepuscule","inconnue",1,0,"Saint-Laurent","Valide","info-coyote","oui",290012.3828,5043170.457,"45,5282943","-73,6893152",POINT (290012.3828 5043170.457)
1505,"2019-03-25","10:26:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",292791.8296,5048601.599,"45,57721887","-73,65386539",POINT (292791.8296 5048601.599)
1506,"2019-03-25","10:20:00",1,,,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",294135.9937,5047695.221,"45,56908492","-73,63662237",POINT (294135.9937 5047695.221)
1507,"2019-03-25","10:35:00",1,,,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",294156.4015,5047896.472,"45,57089615","-73,63636529",POINT (294156.4015 5047896.472)
1508,"2019-03-25","10:10:00",1,,,"jour","2",4,3,"Ahuntsic-Cartierville","Valide","formulaire","oui",293502.5313,5048186.712,"45,57349751","-73,64474933",POINT (293502.5313 5048186.712)
1509,"2019-03-25","10:30:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","formulaire","oui",293906.8121,5048044.013,"45,5722199","-73,6395663",POINT (293906.8121 5048044.013)
1510,"2019-03-25","10:20:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293468.9108,5048197.974,"45,5735983","-73,64518035",POINT (293468.9108 5048197.974)
